plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_plotid,pl_plot_id,pl_strata_coded_year,pl_o_lc,pl_o_change,pl_o_ch_type,pl_o_deg_driver,pl_o_def_type,pl_o_yrchange,pl_confidence,pl_final,"Land cover, 2019",Change?,Change type?,Driver of degradation?,Deforestation type,Confidence,Year of change
140797664,568563884,106.5089762,16.19056094,j.ferrand@forestcarbon.com,false,2021-06-22 06:59,5511.5 secs,Planet NICFI Public,,POINT(106.5089762 16.19056094),195,140738328,2015,forest,no,forest,,,NA,high,stable forest,forest,yes,forest degradation,shifting agriculture,,medium,2015
140797665,568563885,106.5935975,16.20538315,j.ferrand@forestcarbon.com,false,2021-06-22 07:03,263.7 secs,Planet NICFI Public,,POINT(106.5935975 16.20538315),202,140738335,2015,forest,no,forest,,,NA,high,stable forest,forest,yes,forest degradation,selective logging,,low,2015
140797666,568563886,106.6391421,16.31479795,j.ferrand@forestcarbon.com,false,2021-06-22 07:09,323.7 secs,Planet NICFI Public,,POINT(106.6391421 16.31479795),206,140738339,2017,forest,no,forest,,,NA,high,stable forest,forest,yes,forest degradation,selective logging,,low,2017
140797667,568563887,106.6240504,16.35279668,j.ferrand@forestcarbon.com,false,2021-06-22 07:15,357.3 secs,Planet NICFI Public,,POINT(106.6240504 16.35279668),208,140738341,2016,forest,no,forest,,,NA,high,stable forest,forest,yes,forest degradation,shifting agriculture,,medium,2017
140797668,568563888,106.4849912,16.22882918,j.ferrand@forestcarbon.com,false,2021-06-22 07:17,168.1 secs,Planet NICFI Public,,POINT(106.4849912 16.22882918),210,140738343,2017,forest,no,forest,,,NA,high,stable forest,forest,yes,forest degradation,shifting agriculture,,medium,2017
140797669,568563889,105.700223,16.7252382,j.ferrand@forestcarbon.com,false,2021-06-22 07:22,244.8 secs,FCDM 2015 - 2019,,POINT(105.700223 16.7252382),211,140738344,2016,forest,no,forest,,,NA,high,stable forest,forest,no,,,,low,
140797670,568563890,106.2966145,16.56812286,j.ferrand@forestcarbon.com,false,2021-06-22 07:23,94.4 secs,Planet NICFI Public,,POINT(106.2966145 16.56812286),212,140738345,2016,forest,no,forest,,,NA,medium,stable forest,forest,yes,forest degradation,shifting agriculture,,medium,2016
140797671,568563891,105.9473495,16.06605445,j.ferrand@forestcarbon.com,false,2021-06-22 07:26,181.2 secs,Planet NICFI Public,,POINT(105.9473495 16.06605445),214,140738347,2015,forest,no,forest,,,NA,high,stable forest,forest,yes,forest degradation,selective logging,,low,2015
140797672,568563892,106.348088,16.36734939,j.ferrand@forestcarbon.com,false,2021-06-22 07:27,70.5 secs,Planet NICFI Public,,POINT(106.348088 16.36734939),215,140738348,2015,forest,no,forest,,,NA,medium,stable forest,forest,yes,forest degradation,shifting agriculture,,medium,2015
140797673,568563893,106.2882602,16.42744668,j.ferrand@forestcarbon.com,false,2021-06-22 07:29,75.8 secs,Planet NICFI Public,,POINT(106.2882602 16.42744668),224,140738357,2015,forest,no,forest,,,NA,high,stable forest,forest,yes,forest degradation,shifting agriculture,,low,2015
